Code Libre;O;Nom;Tarif 1 HT;Tarif 2 HT;Valeur;Code à Barres;MAG SCENE;S;K;
ZSON;FAUX;.;0;0;0;;0;FAUX;FAUX;
ZVIDEO;FAUX;.;0;0;0;;0;FAUX;FAUX;
RALLONGEFLUO;FAUX;***Rallonge pour Fluo JULIAT DE 20 METRES WEYLAND/WEYLAND;5;5;0;;0;FAUX;FAUX;
VECO;FAUX;*Coupleur vertical pour FLEX6 - SOLID15 - SOLID28 • AED;5;5;0;;0;FAUX;FAUX;
DEMITRAVERSE;VRAI;1/2 traverse•STACCO;2;2;14;;90;FAUX;FAUX;
17M3;FAUX;17 M3 MERCEDES SRPINTER / DT-406-TJ;0;0;0;;0;FAUX;FAUX;
MULTIDATA;FAUX;1interphonie - 3lignes DMX - 1 PC32A Mono;69;69;1200;;1;FAUX;FAUX;
MULTIDATA4;FAUX;2 x dmx 3 pts / 2 x rj45 / pc16;70;70;1100;;0;FAUX;FAUX;
MULTIDATA3;FAUX;2 x dmx 5 pts / 2 x rj45 / pc16;70;70;1100;;2;FAUX;FAUX;
20M3IVECO;FAUX;20 M3 IVECO 35C / BJ-178-FC;0;0;1;;0;FAUX;FAUX;
20M3MERCEDES;FAUX;20 M3 MERCEDES 513/ DL-622-TF;0;0;0;;0;FAUX;FAUX;
FRESNEL2,5HMI;FAUX;326 LVF+Jalousie en Flight • JULIAT;100;100;0;;0;FAUX;FAUX;
FLRANGEMENT;FAUX;4 tiroirs + casiers Flight rangement outillage 710 X690 X 980;0;0;672,6;;0;FAUX;FAUX;
K2-JACK;FAUX;4 vérins de réglage angulaire + barres;45;45;0;;2;FAUX;FAUX;
MULTIDATA2;FAUX;4 x dmx 5 pts / 2 x rj45 / pc16;75;75;1123;;2;FAUX;FAUX;
BUMP300;FAUX;Accroche BUMP pour pont 300;20;20;0;;14;FAUX;FAUX;
BUMP300TRI;FAUX;Accroche BUMP pour pont 300 TRI;20;20;0;;13;FAUX;FAUX;
FISCHERAPMS-AA;FAUX;ACCUMULATEUR aa lr06 2850mAh•FISCHER AMPS;0;0;4,14;;186;FAUX;FAUX;
MINIJACK/JACK6.3;FAUX;Adapatateur MiniJack / Jack 6.3;1;1;0;;2;FAUX;FAUX;
JACK/JACK6.3;FAUX;Adapateur Jack / Jack 6.3;1;1;0;;25;FAUX;FAUX;
MINIJACK/RALLONGE ;FAUX;Adapateur rallonge mini jack 0,2M;1;1;0;;5;FAUX;FAUX;
RCA-JACK;FAUX;Adaptateur 2 x RCA -> 2 x JACK 6,35;2;2;0;;0;FAUX;FAUX;
RCA-XLRF;FAUX;Adaptateur 2 x RCA -> 2 x XLR femelle;1;1;12,9;;5;FAUX;FAUX;
RCA-XLRM;FAUX;Adaptateur 2 x RCA -> 2 x XLR mâle;1;1;12,9;;11;FAUX;FAUX;
ADAPT DMX 3F/5M;FAUX;Adaptateur DMX 3 points femelle vers 5 points mâle;2;2;15;;12;FAUX;FAUX;
ADAPT DMX 3M/5F;FAUX;Adaptateur DMX 3 points mâle vers 5 points femelle;2;2;5,42;;21;FAUX;FAUX;
ADAPT DMX 5F/5F;FAUX;Adaptateur DMX 5 points femelle vers 5 points femelle;2;2;15;;3;FAUX;FAUX;
ADAPT DMX 5M/5M;FAUX;Adaptateur DMX 5 points mâle vers 5 points mâle;2;2;15;;3;FAUX;FAUX;
MINIJACK/RCA;FAUX;Adaptateur Mini-Jack stéréo / 2xRCA;1;1;2,72;;2;FAUX;FAUX;
MINIJACK/XLRF;FAUX;Adaptateur Mini-Jack stéréo / 2xXLR femelle;1;1;7,9;;5;FAUX;FAUX;
MINIJACK/XLRM;FAUX;Adaptateur Mini-Jack stéréo / 2xXLR mâles;1;1;7,34;;4;FAUX;FAUX;
ADAPT 125/63A;FAUX;Adaptateur P17 125A mâle --> 63A fem;4;4;0;;2;FAUX;FAUX;
ADAPT 125A/POWERLOKC;FAUX;Adaptateur P17 125A mâle --> Powerlock;6;6;464;;1;FAUX;FAUX;
ADAPT P1716/PC16;FAUX;Adaptateur P17 16A Mono Mâle--> PC16A IP44;0;0;12,72;;2;FAUX;FAUX;
ADAPT 20AT MENA.;FAUX;Adaptateur P17 20AT mâle ménagère --> 32AT fem CEE17;3;3;36;;2;FAUX;FAUX;
