Code libre générique;Nom;Marque;Numéro de série;L;C;
12XT-;;;;FAUX;FAUX;
LS9/32;** Console YAMAHA numérique 16/8/2;;;FAUX;FAUX;
DXS15 SUB;"***Caisson de basse amplifié 15"" YAMAHA";YAMAHA;WV09460;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;180571;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;180245;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;181373;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;181049;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;179917;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;181376;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;181380;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;180254;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;179918;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;180256;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;181375;FAUX;FAUX;
PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;LAB GRUPPEN;180253;FAUX;FAUX;
M15A;"**Retour de scène actif 15""-4""ADAMSON";ADAMSON;79109;FAUX;FAUX;
MULTIDATA3;2 x dmx 5 pts / 2 x rj45 / pc16;;EMAG-02809;FAUX;FAUX;
MULTIDATA3;2 x dmx 5 pts / 2 x rj45 / pc16;;EMAG-02810;FAUX;FAUX;
SPL-REC-DP2;Afficheur/Enregistreur-live- valise • Audiopole;AUDIOPOLE;104409;FAUX;FAUX;
SPL-REC-DP2;Afficheur/Enregistreur-live- valise • Audiopole;AUDIOPOLE;104415;FAUX;FAUX;
SPL-REC-DP2;Afficheur/Enregistreur-live- valise • Audiopole;AUDIOPOLE;98565;FAUX;FAUX;
SPL-REC-DP2;Afficheur/Enregistreur-live- valise • Audiopole;AUDIOPOLE;100739;FAUX;FAUX;
PLM10000Q;Ampli 4 X 2500 W+ Dolby Lake LAB;;;VRAI;FAUX;
PLM10000Q;Ampli 4 X 2500 W+ Dolby Lake LAB;;;FAUX;FAUX;
BLUESJUNIORIV;Ampli Blues Junio IV• FENDER;FENDER;B884971;FAUX;FAUX;
AMP100V;Ampli de ligne 100v;;240PA305037;FAUX;FAUX;
LA4;Amplificateur numérique ;L-ACOUSTICS;5102552;FAUX;FAUX;
LA4;Amplificateur numérique ;L-ACOUSTICS;*5100114;FAUX;FAUX;
LA4;Amplificateur numérique ;L-ACOUSTICS;5102704;FAUX;FAUX;
LA4;Amplificateur numérique ;;5102553;FAUX;FAUX;
LA4;Amplificateur numérique ;;5100436;FAUX;FAUX;
LA4;Amplificateur numérique ;;5102682;FAUX;FAUX;
LA4;Amplificateur numérique ;;5100112;FAUX;FAUX;
LA4;Amplificateur numérique ;;5102151;FAUX;FAUX;
LA4;Amplificateur numérique ;;5100019;FAUX;FAUX;
LA4;Amplificateur numérique ;;5102557;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180042637;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056610;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056617;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056611;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056614;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180055510;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056608;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056612;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056613;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180042635;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180042647;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180042649;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180042631;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180042633;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056625;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180055352;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056274;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180055853;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056501;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056616;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180056609;FAUX;FAUX;
LA4X;Amplificateur processé 4x1000W • L'ACOUSTICS;L-ACOUSTICS;1180065606;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140049229;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140048980;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140049264;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140049228;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140049263;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140049227;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049126;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049077;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049076;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049064;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049056;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049078;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049048;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049079;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049051;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049050;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049049;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049057;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049121;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049119;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049120;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049027;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049122;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;;1140049028;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140013438;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140013424;FAUX;FAUX;
LA12X;Amplificateur processé 4x2600W • L'ACOUSTICS;L-ACOUSTICS;1140013425;FAUX;FAUX;
