liste Clients Mag
Code Libre;Nom;CP Fact;Ville Fact;Téléphone Fact;Commentaire
C00000001179;1 DEPENDANT;92410;VILLE D AVRAY;;
C00000001071;106 DB PRODUCTION;42480;LA FOUILLOUSE;;
C0001;12 PRODUCTION;12250;TOURNEMIRE;565589015;
C00000002436;171 CANONS;42000;ST ETIENNE;;
C0002;2000 et UNE TENTATIONS;42100;Saint Etienne;;
C00000003035;24 HEURESDE L INSA;69621;VILLEURBANNE;;
C00000002865;2C Impressions;42700;FIRMINY;;
C00000001231;2L PROD';42130;MARCILLYN LE CHATEL;618461265;
C00000002393;3 M PRODUCTION;38200;VIENNE;;
C0939;360° ARTISTES MANAGEMENT;;;;
C0003;3C;49480;SAINT-SYLVAIN D'ANJOU;241417878;
C00000002785;3JMUSIC;38630;CORBELIN;474889915;
C00000002194;43 MEDIA;43190;TENCE;;ENVOYER FACTURES PAR MAIL (03/12/2019)
C00000000979;43 PICTURES;43190;TENCE ;06 79 29 63 27;
C00000001446;5B PRODUCTIONS;2200;SOISSONS;;
C0156;6° CONTINENT;69007;LYON;477289871;
C00000001390;9 SPORTS;42100;ST ETIENNE;04 77 25 64 24;
C00000003099;9141-5828 QUEBEC INC;J4J 1Z1;LONGUEUIL;;
C0018;A GAUCHE DE LA LUNE;59800;LILLE;328045663;
C00000000997;A PART LA ZIC;42370;RENAISON;;
C00000003116;A QUOI ON JOUE;38540;HEYRIEUX;;
C00000001093;A TOUT MONDE;42400;SAINT CHAMOND;477221818;
C0222;A VOUS COGNAC JAY STUDIO 1;69007;LYON;472808500;
C00000001174;A.B.A Office du tourisme ;42160;ANDREZIEUX-BOUTHEON;;
C0923;A.B.S.I KEREN'OR;75011;PARIS;;
C00000001204;A.G.E.F Ensemble Forum;42000;SAINT-ETIENNE;04 77 92 99 64;
C0081;A.J.C;7270;LE CRESTET;475062075;
C0045;A.R.L ORGANISATION;38160;SAINT ROMAIN DE JALIONAS;684780585;
C0223;A.V.T.E.C;42340;Rivas;618461265;
C00000001814;A+ EVENTS;74800;LA ROCHE SUR FORON;450033411;
C0203;AAFPMR;42700;FIRMINY;;
C0005;AAMS ENTERTAINMENT GROUP;75012;PARIS;153438808;
C00000001274;ABA animation;42160;ANDREZIEUX BOUTHEON;;
C00000001343;ABADER FEYE;42740;LA TERRASSE SUR DORLAY;;
C00000001406;ABBAYE DE COLLONGES;69660;COLLONGES AU MONT DOR;;
C00000003006;ABN;42500;LE CHAMBON FEUGEROLLES;477505871;
C00000003005;ABN Engineering&Consulting;42500;LE CHAMBON FEUGEROLLES;477505871;
C0006;ABRIS BEACH;42270;L'ETRAT;612623738;
C0007;ABSOULUTE LIVE;13011;MARSEILLE;;
C00000002537;AC PROD;;;;
C00000002940;AC RIVE DE GIER;42800;SAINT ETIENNE;;
C00000001619;ACADEMIE GOURMANDE DU CLOS FLEURI;42160;ANDREZIEUX BOUTHEON;;
C0096;ACBS;42000;Saint Etienne;477321016;
C0100;ACCES;42000;SAINT ETIENNE;477920317;
C0059;ACCOMPAGNEMENT LOISIRS;;;;
C00000001467;ACCROPOLE DU SON;42130;SAINTE AGATHE LA BOUTERRESSE;;
C00000002109;ACCUEIL DE LOISIR DE L'HORME;42152;L'HORME;;
C00000001124;ACHBAROU;42000;SAINT-ETIENNE;;
C0009;ACIJA;43120;MONISTROL;;
C00000001126;ACME;43290;MONTFAUCON EN VELAY;471656922;FACTURE PAR MAIL à : contact-acme@sfr.fr
C0010;ACR;42800;RIVE DE GIER;;
C0012;ACROPOLE DU SON;42600;MONTBRISON;;
C00000001854;ACS;34320;ROUJAN;;
C00000003061;ACT OF BEAUTY PRODUCTIONS;;;;
C00000002463;ACTAURA LOIRE;42000;SAINT ETIENNE;;
C0072;ACTEUR LIVING SHOW;42000;SAINT ETIENNE;;
C1037;ACTIF;42130;BOEN;;
C0729;ACTION MUSIQUES;38340;VOREPPE;476426054;06 09 42 76 57
C00000002776;ACTIPACK;42964;SAINT ETIENNE CEDEX 1;477522329;
C0159;ACTIS;42000;SAINT ETIENNE;477416699;
C00000002689;ACTIV Médias;42300;ROANNE;477420400;
C00000001785;ACTS;42000;SAINT-ETIENNE;;
C0157;ADACL;;SAINT GERMAIN L'HERME;;
C0013;ADAM PRODUCTION TOURNE MASSILIA;13000;MARSEILLE;491606162;
C00000001267;ADAPEI DE LA LOIRE;42002;SAINT-ETIENNE CEDEX1;04 77 95 22 68;
C00000001869;ADAPEI FOYER LES ONDINES;42500;LE CHAMBON FEUGEROLLES;;
C0138;ADDIS ABEBA;42210;MONTROND LES BAINS;477545485;
C0170;ADEIM;42000;SAINT ETIENNE;477421389;
C00000002858;ADEMS;42270;SAINT PRIEST EN JAREZ;;
C0014;ADEMS FACULTE DE MEDECINE;42023;SAINT ETIENNE;;
C00000002006;ADEVA;26000;VALENCE;475812463;
C00000001933;ADI GOLAN;75012;;01 43 43 53 49;
C00000002692;ADME-OBSTINATO;69005 LYON;;;
C0897;ADMS Animation;42210;MONTROND LES BAINS;609351772;
C00000002890;ADRENALINE SONO;42920;CHALMAZEL;;
C00000002703;ADRIEN M ET CLAIRE B;69001;LYON;;
C0015;ADS PYROTECHNIE;42260;CREMEAUX;477625491;
C00000002900;AEG Evenement;42800;TARTARAS ;;
C00000003172;AESIO MUTUELLE;42058;SAINT ETIENNE CEDEX 2;;
C00000002512;AF EVENTS;42000;SAINT-ETIENNE;;
C00000001866;AF LAURENT WAUQIEZ;69006;LYON;;
C0017;AFDAS;69002;LYON;472002300;
C00000002673;AFPI LDA;42950;SAINT-ETIENNE;;
C0116;AFPS;43210;MAL VALETTE;477352975;
C00000002763;AFR ESPACE VIE SOCIALE;42600;VERRIERES EN FOREZ;;
C00000001488;AFR MARCILLY LE CHATEL;42130;MARCILLY LE CHATEL;;
C00000001843;AFTER EFFECTS;69001;LYON;;
C00000002246;AGAPES ET SPECTACLES;42600;MONTBRISON;477247138;
C00000002706;AGASEF;42000;SAINT-ETIENNE;;
C00000002947;AGATA;42100;SAINT-ETIENNE;;
C0354;AGENCE ARTISTIQUE DANNY DARCEY;63000;CLERMONT-FERRAND;473921717;
C00000002295;AGENCE CLOÉE;42330;SAINT-GALMIER;;
C00000003056;AGENCE EFFERVESCENCE;84000;AVIGNON;;
C00000002562;AGENCE EVENEMENTIELLE TCHIN;43200;YSSINGEAUX;;
C00000002282;AGENCE IKEN;71100;CHALON SUR SAONE;;
C0959;AGENCE LIONNEL ROFFET;63100;CLERMONT-FERRAND;;
C00000002884;Agence NUMERO 21;75003;PARIS;184214081;
C00000001901;AGENCE SIROCCO;42320;LA GRAND CROIX;;
C0998;AGENCE TCB;42590;ST JODARD;;
