"Code";"Libre";"Nom";"CP";"Com";"Ville";"Com";"Téléphone";"Com";"";"";"";""
"F0358";"69200";"VENISSIEUX";"0472502244";"";"";"";"";"";"";"";"";""
"F00000000522";"";"";"";"";"";"";"";"";"";"";"";""
"F00000000523";"";"";"";"";"";"";"";"";"";"";"";""
"F00000000562";"2CI";"67120";"DUPPIGHEIM";"0388497729";"";"";"";"";"";"";"";""
"F00000000517";"A.B.C.";"ENERGIES";"42230";"SAINT-VICTOR-SUR-LOIRE";"06";"13";"766";"521";"";"";"";""
"F0034";"A.P.G";"FRANCE";"95500";"LE";"THILLAY";"0130189270";"";"";"";"";"";""
"F0002";"AB";"AUTOBILAN";"42";"POIDS";"LOURDS";"04";"77";"55";"58";"20";"";""
"F0004";"AB";"TELECOM";"";"";"";"";"";"";"";"";"";""
"F0001";"ABATE";"";"";"";"";"";"";"";"";"";"";""
"F00000000525";"ABC";"ENERGIE";"42230";"SAINT";"VICTOR";"SUR";"LOIRE";"0613766521";"";"";"";""
"F0003";"ABG";"";"";"";"";"";"";"";"";"";"";""
"F00000000509";"ACCEL";"42400";"SAINT";"CHAMOND";"04";"77";"29";"21";"82";"";"";""
"F0005";"ACCORE";"DIFFUSION";"69265";"LYON";"CEDEX";"09";"0478648733";"";"";"";"";""
"F0006";"ACCORSERVICE";"";"";"";"";"";"";"";"";"";"";""
"F0007";"ACF";"";"";"";"";"";"";"";"";"";"";""
"F0008";"ACI";"";"";"";"";"";"";"";"";"";"";""
"F00000000469";"ACME";"43290";"MONTFAUCON";"EN";"VELAY";"04";"71";"65";"69";"22";"";""
"F0009";"ACOR";"";"";"";"";"";"";"";"";"";"";""
"F00000000565";"ACTION";"LIFT";"45590";"SAINT";"CYR";"EN";"VAL";"0984090373";"";"";"";""
"F0010";"ACTITEC";"";"";"";"";"";"";"";"";"";"";""
"F0011";"AD";"AUTO";"DISTRIBUTION";"";"";"";"";"";"";"";"";""
"F0014";"AD";"HOC'LOC";"";"";"";"";"";"";"";"";"";""
"F00000000497";"ADA";"42000";"SAINT-ETIENNE";"0477389585";"";"";"";"";"";"";"";""
"F00000000486";"ADAM";"HALL";"+34933635363";"";"";"";"";"";"";"";"";""
"F0012";"ADB";"94230";"CACHAN";"0145361790";"";"";"";"";"";"";"";""
"F0013";"ADECCO";"";"";"";"";"";"";"";"";"";"";""
"F0015";"ADPCL";"";"";"";"";"";"";"";"";"";"";""
"F00000000533";"ADS";"42100";"SAINT";"ETIENNE";"";"";"";"";"";"";"";""
"F00000000532";"ADTECH";"42680";"ST";"MARCELLIN";"EN";"FOREZ";"0477528257";"";"";"";"";""
"F0016";"AED";"RENT";"02830";"willebroek";"0149340000";"";"";"";"";"";"";""
"F0017";"AFFICHES";"DE";"LA";"LOIRE";"";"";"";"";"";"";"";""
"F0018";"AFFIRMATIF";"SYSTEME";"";"";"";"";"";"";"";"";"";""
"F0019";"AFL";"0477797935";"";"";"";"";"";"";"";"";"";""
"F0020";"AGIS";"";"";"";"";"";"";"";"";"";"";""
"AGORA";"AGORA";"";"";"";"";"";"";"";"";"";"";""
"F0021";"AINHELIO";"";"";"";"";"";"";"";"";"";"";""
"F0022";"AIR";"FRANCE";"";"";"";"";"";"";"";"";"";""
"F0023";"AKKAL";"AVOCAT";"";"";"";"";"";"";"";"";"";""
"F0024";"ALBREGUE";"";"";"";"";"";"";"";"";"";"";""
"F00000000005";"ALGAM";"44470";"THOUARE";"0240183700";"";"";"";"";"";"";"";""
"F0026";"ALISEES";"";"";"";"";"";"";"";"";"";"";""
"F0027";"ALLEMAND";"";"";"";"";"";"";"";"";"";"";""
"F0028";"ALOES";"";"";"";"";"";"";"";"";"";"";""
"F0029";"ALP'EMPLOI";"";"";"";"";"";"";"";"";"";"";""
"F0030";"ALPHA";"BUREAU";"42100";"SAINT-ETIENNE";"";"";"";"";"";"";"";""
"F0031";"AMBIANCE";"ET";"LUMIERE";"";"";"";"";"";"";"";"";""
"F0032";"AMIELEC";"";"";"";"";"";"";"";"";"";"";""
"F0033";"ANAF";"J.C.";"";"";"";"";"";"";"";"";"";""
"F00000000527";"ANCHOR";"";"";"";"";"";"";"";"";"";"";""
"F0035";"AP";"INGENIERIE";"";"";"";"";"";"";"";"";"";""
"F00000000441";"APEX-AUDIO";"93200";"ST";"DENIS";"01";"42";"43";"11";"33";"";"";""
"F00000000481";"APG";"95500";"LE";"THILLAY";"01";"30";"18";"92";"81";"";"";""
"F00000000448";"APPELS";"";"";"";"";"";"";"";"";"";"";""
"F0036";"APPLE";"";"";"";"";"";"";"";"";"";"";""
"F0037";"APTES";"FOURNISSEUR";"";"";"";"";"";"";"";"";"";""
"F0038";"ARACHNÉE";"FRS";"";"";"";"";"";"";"";"";"";""
"F00000000488";"ARBITER";"";"";"";"";"";"";"";"";"";"";""
"F00000000489";"ARBITER";"44600";"ST";"NAZAIRE";"02";"40";"11";"05";"05";"";"";""
"F00000000485";"AREITEC";"75015";"PARIS";"01";"45";"30";"21";"23";"";"";"";""
"F0039";"ARIANE";"";"";"";"";"";"";"";"";"";"";""
"F0040";"ARLEQUIN";"";"";"";"";"";"";"";"";"";"";""
"F0041";"ARPEGE";"Son";"Lumières";"06640";"Saint";"Jeannet";"0492124545";"";"";"";"";""
"F00000000541";"ARS";"69330";"PUISIGNAN";"";"";"";"";"";"";"";"";""
"F0042";"ARSENIC";"ET";"CHAMPAGNE";"";"";"";"";"";"";"";"";""
"F0043";"ASD";"08460";"LALOBBE";"0324594191";"";"";"";"";"";"";"";""
"F0044";"ASF";"";"";"";"";"";"";"";"";"";"";""
"F00000000537";"ASG";"";"";"";"";"";"";"";"";"";"";""
"F0045";"ASL";"";"";"";"";"";"";"";"";"";"";""
"F00000000479";"ASL";"FRANCE";"";"";"";"";"";"";"";"";"";""
"F0046";"ATANOR";"0477504535";"";"";"";"";"";"";"";"";"";""
"F0047";"ATELIERS";"LUMIÈRES";"0556431010";"";"";"";"";"";"";"";"";""
"F0048";"ATL";"";"";"";"";"";"";"";"";"";"";""
"F0055";"AU";"JARDIN";"";"";"";"";"";"";"";"";"";""
"F0049";"AUCHAN";"";"";"";"";"";"";"";"";"";"";""
"F0051";"AUDIO";"EQUIPEMENT";"";"";"";"";"";"";"";"";"";""
"F0052";"AUDIO";"MAINTENANCE";"";"";"";"";"";"";"";"";"";""
"F00000000501";"AUDIO";"SUD";"34430";"SAINT";"JEAN";"DE";"VEDAS";"0467274305";"";"";"";""
"F00000000554";"AUDIO";"TECHNICA";"";"";"";"";"";"";"";"";"";""
"F0054";"AUDIO";"TECHNIQUE";"42152";"L'HORME";"0477814959";"";"";"";"";"";"";""
"F00000000466";"AUDIO2";"37300";"JOUE-LES-TOURS";"0247532280";"";"";"";"";"";"";"";""
"F00000000482";"AUDIOLUX";"26839";"ZELO";"BUON";"PERSICO";"00390290659652";"";"";"";"";"";""
"F0053";"AUDIOPOLE";"77771";"MARNE-LA";"VALLEE";"CEDEX";"4";"0160543200";"";"";"";"";""
"F0056";"AUX";"ARTS";"GRAPHIQUES";"";"";"";"";"";"";"";"";""
"F00000000508";"AVAB";"93200";"SAINT-DENIS";"0142433535";"";"";"";"";"";"";"";""
"F0057";"AVID";"";"";"";"";"";"";"";"";"";"";""
"F0058";"AVIS";"42100";"SAINT-ETIENNE";"04";"77";"79";"99";"27";"";"";"";""
"F0059";"AXA";"ASSURANCE";"";"";"";"";"";"";"";"";"";""
"F00000000452";"AXENTE";"91160";"LONGJUMEAU";"0169105070";"";"";"";"";"";"";"";""
"F00000000521";"AZ";"LOCATION";"";"";"";"";"";"";"";"";"";""
"F0060";"AZUR";"SCENIQUE";"06640";"ST";"JEANNET";"04";"92";"12";"04";"00";"";""
