Interventions Locmat
Intervention;Code Article;Nom Article;Numéro de série;Début;Fin;Coût;A
IN00000000230;VIPER;***Mac Vipper Profile DMX5• MARTIN;0788770045   - V12;;08/03/2017 PM;0;Terminée
IN00000000229;VIPER;***Mac Vipper Profile DMX5• MARTIN;0788770045   - V12;;08/03/2017 PM;0;Terminée
IN00000000111;CS4;Rampe ACL motorisée;11700;31/01/2011 AM;31/01/2011 PM;0;Terminée
IN00000000112;STAGER6;Bloc de puissance STAGER 6X2KW0/10V & DMX 512•RVE;99105027;31/01/2011 AM;31/10/2011 PM;0;Terminée
IN00000000099;960L;Réverb numérique LEXICON;3256;11/02/2011 AM;11/03/2011 PM;328,656;Terminée
IN00000000065;POURS2500;Poursuite ARAMIS 2500 HMI 4,5/8°;4083;01/03/2011 AM;01/04/2012 PM;224;Terminée
IN00000000104;CS4;Rampe ACL motorisée;11699C;01/03/2011 AM;01/03/2011 PM;0;Terminée
IN00000000108;PM5D-RH;Console numerique 48 cannaux/24 aux(touring);;13/03/2011 AM;13/03/2011 PM;0;Terminée
IN00000000110;SPX990;Multi effets SPX990;NM0105;13/03/2011 AM;13/03/2011 PM;0;Terminée
IN00000000103;CDAUTO;Lecteur CD autopause;480487;26/04/2011 AM;26/05/2011 PM;110,01;Terminée
IN00000000084;CS4;Rampe ACL motorisée;11692C;23/05/2011 AM;23/05/2011 PM;0;Terminée
IN00000000118;UNIQUE;Machine à brouillard UNIQUE dmx512;451108;08/06/2011 AM;08/06/2011 PM;0;Terminée
IN00000000102;CDAUTO;Lecteur CD autopause;480487;14/06/2011 AM;14/06/2011 PM;0;Terminée
IN00000000101;CDAUTO;Lecteur CD autopause;480481;15/06/2011 AM;15/07/2011 PM;0;Terminée
IN00000000095;MAC700PRO;Lyre asservie 700W Profile;(21)4070976009-20;23/07/2011 AM;23/07/2011 PM;0;Terminée
IN00000000096;MAC700PRO;Lyre asservie 700W Profile;(21)4058926045-11;23/07/2011 AM;23/07/2011 PM;0;Terminée
IN00000000098;M7CL;Console numérique 48 voies;HAMO0110664;23/07/2011 AM;23/07/2011 PM;0;Terminée
IN00000000117;MAMICRO;Console asservis MA MICRO 1025 circuits;40300024;26/09/2011 AM;26/09/2011 PM;0;Terminée
IN00000000088;PM3500/40;Console analogique 40/4st/8/2;;05/12/2011 AM;05/12/2011 PM;0;Terminée
IN00000000089;EQBSS;Eq 2x31 bandes;51579;05/12/2011 AM;05/12/2011 PM;0;Terminée
IN00000000090;DI BSS;Boitier de direct AR133;;05/12/2011 AM;05/12/2011 PM;0;Terminée
IN00000000091;DPR402;Compresseur/limiteur/dé-esser stéréo;??;05/12/2011 AM;05/12/2011 PM;0;Terminée
IN00000000085;CC1000;Changeur DIAFORA 1KW;2906;02/01/2012 AM;02/01/2012 PM;0;Terminée
IN00000000086;CC1000;Changeur DIAFORA 1KW;2904;02/01/2012 AM;02/01/2012 PM;0;Terminée
IN00000000087;DPR402;Compresseur/limiteur/dé-esser stéréo;22609;02/01/2012 AM;02/01/2012 PM;0;Terminée
IN00000000075;SD8;Console audio numérique SD8 DiGiCo;;06/02/2012 AM;06/03/2012 PM;0;Terminée
IN00000000055;MAC2000W;MARTIN-Lyre WASH MAC2000 wash;214046626037;14/02/2012 AM;14/03/2012 PM;280;Terminée
IN00000000056;01V96;Console numerique 12 voies/8 aux;*HAKL01050;14/02/2012 AM;14/03/2012 PM;225;Terminée
IN00000000073;KIVA;Enceinte passive 2voies L-ACOUSTICS;6294;13/03/2012 AM;13/03/2012 PM;0;Terminée
IN00000000078;KIVA;Enceinte passive 2voies L-ACOUSTICS;6293;13/03/2012 AM;13/03/2012 PM;0;Terminée
IN00000000036;MAC700PRO;Lyre asservie 700W Profile;(21)4058926014-13;14/03/2012 AM;14/03/2012 PM;0;Terminée
IN00000000060;MAC2000W;MARTIN-Lyre WASH MAC2000 wash;214047006116;04/04/2012 AM;04/05/2013 PM;84;Terminée
IN00000000061;MAC2000W;MARTIN-Lyre WASH MAC2000 wash;214047006151;04/04/2012 AM;04/05/2012 PM;112;Terminée
IN00000000062;MAC2000W;MARTIN-Lyre WASH MAC2000 wash;214047006169;04/04/2012 AM;04/05/2012 PM;168;Terminée
IN00000000063;MAC2000W;MARTIN-Lyre WASH MAC2000 wash;214047006168;04/04/2012 AM;04/05/2012 PM;112;Terminée
IN00000000044;ST25;Pied de levage charge 350 KG Ht 7,00m;;06/04/2012 AM;06/04/2012 PM;0;Terminée
IN00000000045;ST25;Pied de levage charge 350 KG Ht 7,00m;;06/04/2012 AM;06/04/2012 PM;0;Terminée
IN00000000071;LA4;Amplificateur numérique ;*5100114;03/05/2012 AM;03/06/2012 PM;0;Terminée
IN00000000082;MAC700PRO;Lyre asservie 700W Profile;(21)4070976009-20;23/05/2012 AM;23/05/2012 PM;0;Terminée
IN00000000083;MAC700PRO;Lyre asservie 700W Profile;(21)4072756032-21;23/05/2012 AM;23/05/2012 PM;0;Terminée
IN00000000069;LA4;Amplificateur numérique ;*5100114;12/06/2012 AM;27/06/2012 PM;0;Terminée
IN00000000070;LA4;Amplificateur numérique ;5102704;12/06/2012 AM;27/06/2012 PM;0;Terminée
IN00000000048;VT737;Préampli/comp/eq mono à lampes;27215;26/06/2012 AM;27/08/2013 PM;0;Terminée
IN00000000058;PM5D-RH;Console numerique 48 cannaux/24 aux(touring);;09/07/2012 AM;09/08/2012 PM;100,46;Terminée
IN00000000047;PCM96;Multieffet numérique PCM96;1000758;19/07/2012 AM;19/08/2012 PM;0;Terminée
IN00000000072;LA4;Amplificateur numérique ;5102552;20/07/2012 AM;20/07/2012 PM;0;Terminée
IN00000000041;115XTHIQ-115HIQ;Enceinte coaxiale 2 voies L-ACOUSTICS;6515;29/08/2012 AM;15/09/2012 PM;0;Terminée
IN00000000040;MAC700PRO;Lyre asservie 700W Profile;(21)4059406002-7;14/09/2012 AM;14/10/2012 PM;0;Terminée
IN00000000043;115XTHIQ-115HIQ;Enceinte coaxiale 2 voies L-ACOUSTICS;6515;18/09/2012 AM;18/10/2012 PM;0;Terminée
IN00000000039;MAC700PRO;Lyre asservie 700W Profile;(21)4058926048-12;31/10/2012 AM;30/11/2012 PM;0;Terminée
IN00000000068;LA4;Amplificateur numérique ;5102552;13/11/2012 AM;27/11/2012 PM;0;Terminée
IN00000000050;CC1000;Changeur DIAFORA 1KW;2904;10/12/2012 AM;10/01/2013 PM;0;Terminée
IN00000000079;MAMICRO;Console asservis MA MICRO 1025 circuits;40300024;27/12/2012 AM;27/01/2013 PM;287,04;Terminée
IN00000000022;HDL6 x 3KW;RVE•Bloc puissance HDL 6 X 3KW;;26/01/2013 AM;26/02/2013 PM;0;Terminée
IN00000000037;MAC700PRO;Lyre asservie 700W Profile;(21)4058926048-12;21/02/2013 AM;21/02/2013 PM;0;Terminée
IN00000000033;CDAUTO;Lecteur CD autopause;480489;08/03/2013 AM;26/04/2013 PM;0;Terminée
IN00000000027;STAGER6;Bloc de puissance STAGER 6X2KW0/10V & DMX 512•RVE;99105027;18/03/2013 AM;06/04/2013 PM;0;Terminée
IN00000000029;12XT;;;11/04/2013 AM;11/05/2013 PM;1,113;Terminée
IN00000000002;PCM70;Multieffet numérique PCM70;70-1172;18/04/2013 AM;25/04/2013 PM;0;Terminée
IN00000000004;PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;179917;24/04/2013 AM;24/04/2013 PM;0;Terminée
IN00000000019;PCM70;Multieffet numérique PCM70;70-1172;24/04/2013 AM;26/05/2013 PM;0;Terminée
IN00000000005;FDS366T;Controleur filtre numérique 3entrées/8 sorties;;02/05/2013 AM;09/06/2013 PM;0;Terminée
IN00000000028;MAC700PRO;Lyre asservie 700W Profile;(21)4058926014-13;05/06/2013 AM;31/07/2013 PM;0;Terminée
IN00000000031;HITOWERS400;Kit HI-TOWER S400 (embase /chariot 4D/tête);;31/07/2013 AM;31/08/2013 PM;0;Terminée
IN00000000012;*MTD108-8XT;Enceinte 2 voies,400 W 8XT-L-ACOUSTICS;5542;13/08/2013 AM;13/08/2013 PM;0;Terminée
IN00000000008;PLM10000Q;**Ampli 4 X 2300 W+ Dolby Lake LAB;181376;22/08/2013 AM;22/08/2013 PM;0;Terminée
IN00000000010;PLM10000Q;Ampli 4 X 2500 W+ Dolby Lake LAB;;23/08/2013 AM;30/08/2013 PM;0;Terminée
IN00000000011;PLM10000Q;Ampli 4 X 2500 W+ Dolby Lake LAB;;23/08/2013 AM;30/08/2013 PM;0;Terminée
IN00000000016;HDIRVE12;Bloc de puissance RVE HDI 12X3KW;2742-8;23/08/2013 AM;23/08/2013 PM;0;Terminée
IN00000000035;MAC700PRO;Lyre asservie 700W Profile;(21)4058926048-12;26/08/2013 AM;26/08/2013 PM;0;Terminée
IN00000000017;D-TWO;Delay DTWO;3117134;26/08/2013 AM;26/08/2013 PM;0;Terminée
IN00000000018;PCM70;Multieffet numérique PCM70;70-1172;26/08/2013 AM;26/08/2013 PM;0;Terminée
IN00000000032;CDAUTO;Lecteur CD autopause;480481;26/08/2013 AM;26/08/2013 PM;0;Terminée
IN00000000042;115XTHIQ-115HIQ;Enceinte coaxiale 2 voies L-ACOUSTICS;6515;27/08/2013 AM;27/08/2013 PM;0;Terminée
IN00000000064;MAC700PRO;Lyre asservie 700W Profile;(21)4058926024-4;27/08/2013 AM;27/08/2013 PM;0;Terminée
IN00000000076;SD8;Console audio numérique SD8 DiGiCo;;27/08/2013 AM;03/09/2013 PM;0;Terminée
IN00000000077;SD8;Console audio numérique SD8 DiGiCo;;27/08/2013 AM;03/09/2013 PM;0;Terminée
IN00000000097;EQBSS;Eq 2x31 bandes;51579;27/08/2013 AM;27/08/2013 PM;0;Terminée
